Hotel Name,City,Distance from Centre (in km),Review (in words),Number of Reviews,Rating (out of 10),Level of sustainability,Type of Room,Type of Bed,Type of Cancellation,Cost,Taxes and charges,Type of Payment
"The Fern Residency, MIDC, Pune",Pune,1.6,Good ,50,7.5,3,Winter Green Room,1 double bed,Not Free,4048.0,486.0,prepayment
"Orritel Hotel, Hinjewadi Pune",Pune,5.2,Good ,35,7.1,0,Executive Twin Room,2 single beds,Not Free,2700.0,324.0,prepayment
E Square The Fern An Ecotel Hotel Pune,Pune,3.0,Good ,57,7.7,0,Winter Green,1 double bed,Free cancellation,4750.0,570.0,No prepayment needed
7 Apple Hotel - Viman Nagar Pune,Pune,8.3,Good ,96,7.6,3,Standard Double or Twin Room,Beds: 1 double or 2 singles,Free cancellation,4800.0,576.0,No prepayment needed
FabExpress Marvel Bliss Viman Nagar,Pune,7.2,Good ,619,7.8,1,[Sanitised]Deluxe Room,1 large double bed,Free cancellation,1848.0,222.0,prepayment
ibis Pune Viman Nagar - An Accor Brand,Pune,7.4,Good ,1931,7.0,3,Standard Queen Room,1 large double bed,Free cancellation,4200.0,504.0,No prepayment needed
FabHotel Vardhan House,Pune,10.0,Good ,111,7.9,3,Deluxe Room,1 double bed,Free cancellation,1617.0,194.0,prepayment
The Westin Pune Koregaon Park,Pune,5.6,Very good ,313,8.5,3,Deluxe King Room with City View,1 extra-large double bed,Free cancellation,11000.0,1980.0,No prepayment needed
Oakwood Residence Naylor Road Pune,Pune,3.4,Fabulous ,163,8.6,3,One Bedroom Superior Suite,1 extra-large double bed,Free cancellation,5500.0,660.0,No prepayment needed
Hotel Parag,Pune,1.3,Review score ,397,5.6,0,Budget Single Room - Indian nationals only,1 single bed,Not Free,799.0,96.0,prepayment
"HOSHTEL99 - STAY, COWORK & CAFE - A Backpacker Hostel",Pune,4.3,Fabulous ,562,8.9,2,Bed in 6-Bed Mixed Dormitory Room,Bed in dormitory1 double bed,Free cancellation,863.0,104.0,prepayment
"Ramee Grand Hotel and Spa, Pune",Pune,1.4,Good ,522,7.7,0,Executive Twin Room,2 single beds,Free cancellation,4950.0,594.0,prepayment
Cocoon Hotel,Pune,7.7,Very good ,746,8.5,1,Premium Suite room,Private suite • 1 bedroom • 1 living room • 1 bathroom • 42m²1 large double bed,Free cancellation,4300.0,516.0,No prepayment needed
"Treebo Trend Town Plaza, Pune Station",Pune,2.3,Good ,90,7.5,0,Standard Double Room,1 extra-large double bed,Free cancellation,2598.0,312.0,No prepayment needed
Ginger Pune - Pimpri,Pune,3.1,Good ,124,7.3,1,Single Room,1 single bed,Free cancellation,2500.0,300.0,prepayment
The Corinthians Resort & Club,Pune,9.2,Very good ,1208,8.5,2,Deluxe Room with complimentary use of in house games,Beds: 1 double or 2 singles,Free cancellation,6388.0,767.0,No prepayment needed
Sorrento Homes,Pune,4.6,Good ,167,7.2,2,Double or Twin Room with Bathroom,1 extra-large double bed,Free cancellation,1329.0,159.0,No prepayment needed
Oxford Golf Resort,Pune,1.8,Good ,554,7.8,1,Golf View Cottage with Balcony,1 large double bed,Free cancellation,6000.0,720.0,prepayment
